id,people_count
5165,0
5171,0
6861,1
10691,4
20126,4
21345,11
24537,0
26928,25
26930,23
27123,19
32476,18
32506,17
32507,27
32535,0
35483,13
35530,17
35531,11
35533,38
35534,2
35537,9
35541,5
35788,0
35789,1
35791,0
35803,0
36209,2
39704,24
39958,30
39960,21
42059,13
42066,28
43345,0
43816,1
43817,0
43826,21
43827,7
43828,1
43829,20
51195,4
54431,2
58938,16
58939,0
58948,0
59046,2
59047,7
59048,11
59050,5
59051,2
66501,6
67111,5
71345,1
79331,14
79335,4
79336,24
114038,2
114041,19
