id,people_count
5165,1
5171,1
6861,0
10691,2
20126,4
21345,13
24537,0
26928,23
26930,22
27123,15
32476,19
32506,16
32507,26
32535,0
35483,14
35530,15
35531,14
35533,35
35534,2
35537,7
35541,5
35788,0
35789,3
35791,0
35803,0
36209,3
39704,25
39958,28
39960,22
42059,13
42066,24
43345,0
43816,1
43817,2
43826,24
43827,9
43828,1
43829,18
51195,6
54431,2
58938,15
58939,0
58948,0
59046,2
59047,5
59048,9
59050,5
59051,2
66501,6
67111,4
71345,1
79331,14
79335,3
79336,25
114038,1
114041,16
